fecha_transaccion,id_sim,fecha_activacion,tipo_transaccion,id_vendedor,precio_de_venta,bodega,id_company,costo_venta
2023-03-02,-222.0,2022-08-26,alta,1.0,100.0,3.0,1.0,200.0
2023-03-20,3966.0,2023-02-04,alta,42.0,5000.0,3.0,1.0,100.0
2023-04-28,2798.0,2023-03-06,alta,32.0,200.0,5.0,1.0,230.0
2023-05-05,3062.0,2022-09-05,alta,39.0,5000.0,1.0,1.0,200.0
2023-05-17,1512.0,2023-04-08,alta,26.0,50.0,4.0,1.0,-999.0
1900-09-24,2575.0,2023-03-31,alta,42.0,50.0,-777.0,1.0,500.0
1900-09-24,5283.0,2023-01-08,alta,7.0,-666.0,5.0,-888.0,500.0
2023-02-14,8705.0,1900-09-24,alta,-555.0,100.0,1.0,1.0,500.0
2023-05-12,2060.0,2023-03-29,Transaccion Nula,46.0,500.0,4.0,-888.0,200.0
2023-01-12,5779.0,2023-01-12,recarga,38.0,200.0,1.0,1.0,30.0
2023-04-03,5299.0,2023-03-26,recarga,34.0,500.0,5.0,1.0,500.0
2023-05-31,1907.0,2022-12-19,recarga,30.0,500.0,2.0,1.0,500.0
2023-05-12,1857.0,2022-08-06,recarga,31.0,200.0,1.0,1.0,100.0
2023-03-03,4910.0,2023-01-30,recarga,41.0,5000.0,5.0,1.0,230.0
2023-04-27,4274.0,2023-02-05,alta,22.0,200.0,-777.0,1.0,500.0
1900-09-24,-222.0,2022-12-26,recarga,8.0,5000.0,1.0,1.0,200.0
2023-04-19,7480.0,2022-11-30,recarga,23.0,-666.0,5.0,1.0,500.0
2023-03-13,2971.0,2023-03-13,recarga,20.0,5000.0,2.0,1.0,30.0
2023-04-30,9437.0,2022-12-31,alta,21.0,500.0,4.0,1.0,30.0
2023-05-24,3678.0,2022-12-08,recarga,-555.0,5000.0,5.0,1.0,230.0
2023-03-11,3127.0,1900-09-24,alta,30.0,200.0,1.0,1.0,100.0
2023-05-23,9396.0,2022-11-20,recarga,39.0,500.0,-777.0,1.0,30.0
2023-01-13,1286.0,2023-01-13,alta,27.0,-666.0,1.0,1.0,500.0
2023-01-11,4666.0,2022-11-06,alta,47.0,50.0,-777.0,1.0,100.0
2023-04-04,1090.0,2023-02-28,Transaccion Nula,37.0,-666.0,4.0,1.0,200.0
2023-03-27,2854.0,2023-01-22,Transaccion Nula,14.0,200.0,1.0,1.0,100.0
1900-09-24,-222.0,2023-04-16,recarga,48.0,-666.0,4.0,1.0,200.0
2023-04-03,-222.0,2023-01-11,Transaccion Nula,-555.0,-666.0,3.0,1.0,-999.0
2023-01-30,1944.0,2023-01-30,recarga,41.0,-666.0,1.0,1.0,-999.0
2023-03-14,9594.0,2022-12-27,alta,34.0,5000.0,3.0,1.0,100.0
1900-09-24,4923.0,2023-01-26,recarga,6.0,-666.0,3.0,1.0,100.0
2023-04-05,6329.0,2023-04-05,recarga,36.0,500.0,4.0,1.0,500.0
2023-01-09,2038.0,2023-01-09,alta,16.0,200.0,2.0,1.0,200.0
2023-03-03,6626.0,2022-11-21,recarga,14.0,100.0,1.0,1.0,500.0
2023-05-03,8651.0,2023-04-11,recarga,14.0,100.0,3.0,1.0,-999.0
2023-04-09,5383.0,2022-12-04,Transaccion Nula,29.0,100.0,2.0,1.0,-999.0
2023-05-30,7965.0,2023-03-03,alta,31.0,-666.0,1.0,1.0,30.0
2023-03-30,5193.0,1900-09-24,recarga,6.0,100.0,4.0,1.0,500.0
2023-03-28,-222.0,2023-03-28,recarga,50.0,200.0,3.0,1.0,100.0
2023-01-07,9327.0,2023-01-07,recarga,13.0,50.0,4.0,1.0,100.0
2023-05-09,2263.0,2022-08-24,alta,31.0,50.0,4.0,1.0,100.0
2023-01-22,9400.0,1900-09-24,recarga,19.0,5000.0,3.0,1.0,500.0
2023-01-27,6290.0,2022-09-08,recarga,19.0,50.0,5.0,1.0,230.0
